index,scenario,country,original,rem_25,rem_50,rem_75,rem_100
36,defaunation,Australia,1011.165666,1003.483068,1027.405756,997.6086634,1003.942815
37,defaunation,Australia,1011.165666,1004.565613,1010.107578,1007.880865,1004.806291
38,defaunation,Australia,1011.165666,1010.331816,1004.288737,1016.896376,1001.462182
39,defaunation,Australia,1011.165666,1015.32397,999.4302731,1005.291495,994.349512
40,defaunation,Australia,1011.165666,1014.866861,1006.34002,1004.266588,1023.113669
41,defaunation,Australia,1011.165666,1015.836723,1014.355245,1007.084133,999.1377214
42,defaunation,Australia,1011.165666,1010.21447,1012.700736,998.5480638,997.6776048
43,defaunation,Australia,1011.165666,1024.893019,1005.030942,1007.518486,1007.841948
44,defaunation,Australia,1011.165666,1006.897962,1010.004824,999.9021805,1007.506844
45,defaunation,Australia,1011.165666,1007.00815,1004.738127,1024.316369,1008.751701
46,defaunation,Australia,1011.165666,1008.241101,1005.762919,1003.69771,1003.774842
47,defaunation,Australia,1011.165666,1011.984248,1021.25911,1009.38647,1007.028552
48,defaunation,Australia,1011.165666,1009.638087,998.406598,1004.732574,1006.383204
49,defaunation,Australia,1011.165666,1009.292341,1009.10787,1003.918623,1008.427038
50,defaunation,Australia,1011.165666,1017.665584,1000.020834,1015.680475,1006.285745
51,defaunation,Australia,1011.165666,1003.442304,1017.844675,1007.374499,1019.225914
52,defaunation,Australia,1011.165666,1012.346987,1005.495322,999.203365,1006.654745
53,defaunation,Australia,1011.165666,1011.671158,1010.47273,1004.855499,1008.84592
54,defaunation,Australia,1011.165666,1018.226358,1002.102235,996.4613417,1017.107948
55,defaunation,Australia,1011.165666,1004.916017,998.6252723,1000.972156,1003.177345
56,defaunation,Australia,1011.165666,1003.967956,994.6457736,1009.307627,1007.044565
57,defaunation,Australia,1011.165666,1001.055401,1003.895648,1020.219685,986.3412946
58,defaunation,Australia,1011.165666,1013.713105,1003.735109,998.739065,1007.217042
59,defaunation,Australia,1011.165666,1018.233926,1014.926915,991.7873703,1000.393977
60,defaunation,Australia,1011.165666,1006.667393,1015.188245,1007.498707,997.6661708
61,defaunation,Australia,1011.165666,1014.556452,1014.107953,1005.634381,1002.414805
62,defaunation,Australia,1011.165666,1012.31194,1008.896965,993.7902875,1007.860543
63,defaunation,Australia,1011.165666,1013.483127,1016.637817,1007.043411,1009.431748
64,defaunation,Australia,1011.165666,1015.73507,1011.759603,1015.82665,1001.560355
65,defaunation,Australia,1011.165666,1006.038548,1006.816743,1002.966772,1007.987704
66,defaunation,Australia,1011.165666,1008.694877,1009.124632,1010.212107,994.6331447
67,defaunation,Australia,1011.165666,1014.753178,1011.655176,1017.345445,996.0229873
68,defaunation,Australia,1011.165666,1016.040612,1010.188834,998.1529767,1011.911916
69,defaunation,Australia,1011.165666,1008.044539,1001.45119,1003.000024,993.5948817
70,defaunation,Australia,1011.165666,1006.447368,1008.175749,991.0080236,1009.199043
71,defaunation,Australia,1011.165666,1010.298191,1003.408354,995.9803928,1003.34497
72,defaunation,Australia,1011.165666,1020.396221,1005.234156,1003.05518,995.1233384
73,defaunation,Australia,1011.165666,1023.134466,1008.102629,998.7375515,994.9066742
74,defaunation,Australia,1011.165666,1001.440851,1002.360386,1011.664698,1009.420052
75,defaunation,Australia,1011.165666,999.5082451,1003.660843,997.1570421,1003.5381
76,defaunation,Australia,1011.165666,996.5496592,1005.209897,994.6061982,1001.261386
77,defaunation,Australia,1011.165666,1014.066893,1000.995126,1007.008497,1005.790246
78,defaunation,Australia,1011.165666,1008.760127,1004.878882,1002.563375,1006.60736
79,defaunation,Australia,1011.165666,1005.533265,1009.893703,1002.474775,1000.132501
80,defaunation,Australia,1011.165666,1010.344754,1010.319016,998.2675124,1003.661892
81,defaunation,Australia,1011.165666,1003.39015,1005.456335,998.8440622,987.5406903
82,defaunation,Australia,1011.165666,1009.739649,1016.783341,993.1361592,1010.718604
83,defaunation,Australia,1011.165666,1007.775567,1004.5093,1014.999226,1011.860611
84,defaunation,Australia,1011.165666,1010.385748,1019.995245,996.0158848,1013.805371
85,defaunation,Australia,1011.165666,1003.430835,1010.933128,1012.709021,1013.107338
86,defaunation,Australia,1011.165666,1005.265762,1025.306081,1012.504676,1000.46839
87,defaunation,Australia,1011.165666,1016.036418,1002.746671,1014.147244,993.5314973
88,defaunation,Australia,1011.165666,996.3962318,1020.934335,1016.739408,1005.320013
